Periodo;PaisResidencia;MotivoViaje;Viajeros
1/12/2023;Italia;Negocio motivos profesionales;18989
1/12/2023;Paises Bajos;Negocio motivos profesionales;11050
1/12/2023;Paises Nordicos;Negocio motivos profesionales;18437
1/12/2023;Portugal;Negocio motivos profesionales;12624
1/12/2023;Reino Unido;Negocio motivos profesionales;49058
1/12/2023;Resto America;Negocio motivos profesionales;15902
1/12/2023;Resto de Europa;Negocio motivos profesionales;28076
1/12/2023;Resto del Mundo;Negocio motivos profesionales;17965
1/12/2023;Rusia;Negocio motivos profesionales;0
1/12/2023;Suiza;Negocio motivos profesionales;6110
1/12/2023;Alemania;Ocio recreo y vacaciones;449861
1/12/2023;Belgica;Ocio recreo y vacaciones;136376
1/12/2023;Estados Unidos de America;Ocio recreo y vacaciones;175537
1/12/2023;Francia;Ocio recreo y vacaciones;656305
1/12/2023;Irlanda;Ocio recreo y vacaciones;99796
1/12/2023;Italia;Ocio recreo y vacaciones;283069
1/12/2023;Paises Bajos;Ocio recreo y vacaciones;164720
1/12/2023;Paises Nordicos;Ocio recreo y vacaciones;274836
1/12/2023;Portugal;Ocio recreo y vacaciones;188189
1/12/2023;Reino Unido;Ocio recreo y vacaciones;731310
1/12/2023;Resto America;Ocio recreo y vacaciones;237055
1/12/2023;Resto de Europa;Ocio recreo y vacaciones;418524
1/12/2023;Resto del Mundo;Ocio recreo y vacaciones;267800
1/12/2023;Rusia;Ocio recreo y vacaciones;0
1/12/2023;Suiza;Ocio recreo y vacaciones;91078
1/12/2023;Alemania;Otros motivos;81319
1/12/2023;Belgica;Otros motivos;24652
1/12/2023;Estados Unidos de America;Otros motivos;31731
1/12/2023;Francia;Otros motivos;118637
1/12/2023;Irlanda;Otros motivos;18040
1/12/2023;Italia;Otros motivos;51169
1/12/2023;Paises Bajos;Otros motivos;29776
1/12/2023;Paises Nordicos;Otros motivos;49681
1/12/2023;Portugal;Otros motivos;34018
1/12/2023;Reino Unido;Otros motivos;132195
1/12/2023;Resto America;Otros motivos;42851
1/12/2023;Resto de Europa;Otros motivos;75654
1/12/2023;Resto del Mundo;Otros motivos;48409
1/12/2023;Rusia;Otros motivos;0
1/12/2023;Suiza;Otros motivos;16464
1/01/2024;Alemania;Negocio motivos profesionales;26222
1/01/2024;Belgica;Negocio motivos profesionales;7390
1/01/2024;Estados Unidos de America;Negocio motivos profesionales;8224
1/01/2024;Francia;Negocio motivos profesionales;27196
1/01/2024;Irlanda;Negocio motivos profesionales;6976
1/01/2024;Italia;Negocio motivos profesionales;15477
1/01/2024;Paises Bajos;Negocio motivos profesionales;10297
1/01/2024;Paises Nordicos;Negocio motivos profesionales;17627
1/01/2024;Portugal;Negocio motivos profesionales;6004
1/01/2024;Reino Unido;Negocio motivos profesionales;39640
1/01/2024;Resto America;Negocio motivos profesionales;16879
1/01/2024;Resto de Europa;Negocio motivos profesionales;25633
1/01/2024;Resto del Mundo;Negocio motivos profesionales;13903
1/01/2024;Rusia;Negocio motivos profesionales;0
1/01/2024;Suiza;Negocio motivos profesionales;5323
1/01/2024;Alemania;Ocio recreo y vacaciones;452948
1/01/2024;Belgica;Ocio recreo y vacaciones;127648
1/01/2024;Estados Unidos de America;Ocio recreo y vacaciones;142054
1/01/2024;Francia;Ocio recreo y vacaciones;469765
1/01/2024;Irlanda;Ocio recreo y vacaciones;120501
1/01/2024;Italia;Ocio recreo y vacaciones;267348
1/01/2024;Paises Bajos;Ocio recreo y vacaciones;177866
1/01/2024;Paises Nordicos;Ocio recreo y vacaciones;304482
1/01/2024;Portugal;Ocio recreo y vacaciones;103715
1/01/2024;Reino Unido;Ocio recreo y vacaciones;684728
1/01/2024;Resto America;Ocio recreo y vacaciones;291555
1/01/2024;Resto de Europa;Ocio recreo y vacaciones;442779
1/01/2024;Resto del Mundo;Ocio recreo y vacaciones;240158
1/01/2024;Rusia;Ocio recreo y vacaciones;0
1/01/2024;Suiza;Ocio recreo y vacaciones;91947
1/01/2024;Alemania;Otros motivos;72135
1/01/2024;Belgica;Otros motivos;20329
1/01/2024;Estados Unidos de America;Otros motivos;22623
1/01/2024;Francia;Otros motivos;74813
1/01/2024;Irlanda;Otros motivos;19190
1/01/2024;Italia;Otros motivos;42577
1/01/2024;Paises Bajos;Otros motivos;28326
1/01/2024;Paises Nordicos;Otros motivos;48491
1/01/2024;Portugal;Otros motivos;16517
1/01/2024;Reino Unido;Otros motivos;109047
1/01/2024;Resto America;Otros motivos;46432
1/01/2024;Resto de Europa;Otros motivos;70515
1/01/2024;Resto del Mundo;Otros motivos;38247
1/01/2024;Rusia;Otros motivos;0
1/01/2024;Suiza;Otros motivos;14643
1/02/2024;Alemania;Negocio motivos profesionales;54402
1/02/2024;Belgica;Negocio motivos profesionales;15326
1/02/2024;Estados Unidos de America;Negocio motivos profesionales;15081
1/02/2024;Francia;Negocio motivos profesionales;56885
1/02/2024;Irlanda;Negocio motivos profesionales;12214
1/02/2024;Italia;Negocio motivos profesionales;27599
1/02/2024;Paises Bajos;Negocio motivos profesionales;22831
1/02/2024;Paises Nordicos;Negocio motivos profesionales;34405
1/02/2024;Portugal;Negocio motivos profesionales;14851
1/02/2024;Reino Unido;Negocio motivos profesionales;86327
1/02/2024;Resto America;Negocio motivos profesionales;24688
1/02/2024;Resto de Europa;Negocio motivos profesionales;52605
1/02/2024;Resto del Mundo;Negocio motivos profesionales;34864
1/02/2024;Rusia;Negocio motivos profesionales;0
1/02/2024;Suiza;Negocio motivos profesionales;8107
1/02/2024;Alemania;Ocio recreo y vacaciones;477535
1/02/2024;Belgica;Ocio recreo y vacaciones;134535
1/02/2024;Estados Unidos de America;Ocio recreo y vacaciones;132379
1/02/2024;Francia;Ocio recreo y vacaciones;499331
1/02/2024;Irlanda;Ocio recreo y vacaciones;107213
1/02/2024;Italia;Ocio recreo y vacaciones;242262
1/02/2024;Paises Bajos;Ocio recreo y vacaciones;200407
1/02/2024;Paises Nordicos;Ocio recreo y vacaciones;302001
1/02/2024;Portugal;Ocio recreo y vacaciones;130359
1/02/2024;Reino Unido;Ocio recreo y vacaciones;757775
1/02/2024;Resto America;Ocio recreo y vacaciones;216708
1/02/2024;Resto de Europa;Ocio recreo y vacaciones;461760
1/02/2024;Resto del Mundo;Ocio recreo y vacaciones;306031
1/02/2024;Rusia;Ocio recreo y vacaciones;0
1/02/2024;Suiza;Ocio recreo y vacaciones;71166
1/02/2024;Alemania;Otros motivos;60252
1/02/2024;Belgica;Otros motivos;16975
1/02/2024;Estados Unidos de America;Otros motivos;16703
1/02/2024;Francia;Otros motivos;63002
1/02/2024;Irlanda;Otros motivos;13527
1/02/2024;Italia;Otros motivos;30567
1/02/2024;Paises Bajos;Otros motivos;25286
1/02/2024;Paises Nordicos;Otros motivos;38104
1/02/2024;Portugal;Otros motivos;16448
1/02/2024;Reino Unido;Otros motivos;95610
1/02/2024;Resto America;Otros motivos;27343
1/02/2024;Resto de Europa;Otros motivos;58261
1/02/2024;Resto del Mundo;Otros motivos;38613
1/02/2024;Rusia;Otros motivos;0
1/02/2024;Suiza;Otros motivos;8979
1/03/2024;Alemania;Negocio motivos profesionales;73042
1/03/2024;Belgica;Negocio motivos profesionales;16163
1/03/2024;Estados Unidos de America;Negocio motivos profesionales;22940
1/03/2024;Francia;Negocio motivos profesionales;63610
1/03/2024;Irlanda;Negocio motivos profesionales;13588
1/03/2024;Italia;Negocio motivos profesionales;27206
1/03/2024;Paises Bajos;Negocio motivos profesionales;21338
1/03/2024;Paises Nordicos;Negocio motivos profesionales;36895
1/03/2024;Portugal;Negocio motivos profesionales;15648
1/03/2024;Reino Unido;Negocio motivos profesionales;96496
1/03/2024;Resto America;Negocio motivos profesionales;26919
1/03/2024;Resto de Europa;Negocio motivos profesionales;58181
1/03/2024;Resto del Mundo;Negocio motivos profesionales;28074
1/03/2024;Rusia;Negocio motivos profesionales;0
1/03/2024;Suiza;Negocio motivos profesionales;9934
1/03/2024;Alemania;Ocio recreo y vacaciones;743813
1/03/2024;Belgica;Ocio recreo y vacaciones;164595
1/03/2024;Estados Unidos de America;Ocio recreo y vacaciones;233608
1/03/2024;Francia;Ocio recreo y vacaciones;647765
1/03/2024;Irlanda;Ocio recreo y vacaciones;138373
1/03/2024;Italia;Ocio recreo y vacaciones;277052
1/03/2024;Paises Bajos;Ocio recreo y vacaciones;217287
1/03/2024;Paises Nordicos;Ocio recreo y vacaciones;375718
1/03/2024;Portugal;Ocio recreo y vacaciones;159345
1/03/2024;Reino Unido;Ocio recreo y vacaciones;982647
1/03/2024;Resto America;Ocio recreo y vacaciones;274126
1/03/2024;Resto de Europa;Ocio recreo y vacaciones;592479
1/03/2024;Resto del Mundo;Ocio recreo y vacaciones;285882
1/03/2024;Rusia;Ocio recreo y vacaciones;0
1/03/2024;Suiza;Ocio recreo y vacaciones;101157
1/03/2024;Alemania;Otros motivos;92175
1/03/2024;Belgica;Otros motivos;20397
1/03/2024;Estados Unidos de America;Otros motivos;28949
1/03/2024;Francia;Otros motivos;80273
1/03/2024;Irlanda;Otros motivos;17148
1/03/2024;Italia;Otros motivos;34333
1/03/2024;Paises Bajos;Otros motivos;26927
1/03/2024;Paises Nordicos;Otros motivos;46560
1/03/2024;Portugal;Otros motivos;19746
1/03/2024;Reino Unido;Otros motivos;121772
1/03/2024;Resto America;Otros motivos;33970
1/03/2024;Resto de Europa;Otros motivos;73422
1/03/2024;Resto del Mundo;Otros motivos;35427
1/03/2024;Rusia;Otros motivos;0
1/03/2024;Suiza;Otros motivos;12536
1/04/2024;Alemania;Negocio motivos profesionales;73922
1/04/2024;Belgica;Negocio motivos profesionales;19338
1/04/2024;Estados Unidos de America;Negocio motivos profesionales;23152
1/04/2024;Francia;Negocio motivos profesionales;75395
1/04/2024;Irlanda;Negocio motivos profesionales;15561
1/04/2024;Italia;Negocio motivos profesionales;29777
1/04/2024;Paises Bajos;Negocio motivos profesionales;25488
1/04/2024;Paises Nordicos;Negocio motivos profesionales;26412
1/04/2024;Portugal;Negocio motivos profesionales;14416
1/04/2024;Reino Unido;Negocio motivos profesionales;95309
1/04/2024;Resto America;Negocio motivos profesionales;23701
1/04/2024;Resto de Europa;Negocio motivos profesionales;50069
1/04/2024;Resto del Mundo;Negocio motivos profesionales;22955
1/04/2024;Rusia;Negocio motivos profesionales;0
1/04/2024;Suiza;Negocio motivos profesionales;14069
1/04/2024;Alemania;Ocio recreo y vacaciones;949610
1/04/2024;Belgica;Ocio recreo y vacaciones;248422
1/04/2024;Estados Unidos de America;Ocio recreo y vacaciones;297421
1/04/2024;Francia;Ocio recreo y vacaciones;968539
1/04/2024;Irlanda;Ocio recreo y vacaciones;199906
1/04/2024;Italia;Ocio recreo y vacaciones;382525
1/04/2024;Paises Bajos;Ocio recreo y vacaciones;327423
1/04/2024;Paises Nordicos;Ocio recreo y vacaciones;339292
1/04/2024;Portugal;Ocio recreo y vacaciones;185195
1/04/2024;Reino Unido;Ocio recreo y vacaciones;1224357
1/04/2024;Resto America;Ocio recreo y vacaciones;304464
1/04/2024;Resto de Europa;Ocio recreo y vacaciones;643191
1/04/2024;Resto del Mundo;Ocio recreo y vacaciones;294887
1/04/2024;Rusia;Ocio recreo y vacaciones;0
1/04/2024;Suiza;Ocio recreo y vacaciones;180728
1/04/2024;Alemania;Otros motivos;112511
1/04/2024;Belgica;Otros motivos;29433
1/04/2024;Estados Unidos de America;Otros motivos;35239
1/04/2024;Francia;Otros motivos;114753
1/04/2024;Irlanda;Otros motivos;23685
1/04/2024;Italia;Otros motivos;45322
1/04/2024;Paises Bajos;Otros motivos;38793
1/04/2024;Paises Nordicos;Otros motivos;40200
1/04/2024;Portugal;Otros motivos;21942
1/04/2024;Reino Unido;Otros motivos;145063
1/04/2024;Resto America;Otros motivos;36073
1/04/2024;Resto de Europa;Otros motivos;76206
1/04/2024;Resto del Mundo;Otros motivos;34939
1/04/2024;Rusia;Otros motivos;0
1/04/2024;Suiza;Otros motivos;21413
1/05/2024;Alemania;Negocio motivos profesionales;68930
1/05/2024;Belgica;Negocio motivos profesionales;14487
1/05/2024;Estados Unidos de America;Negocio motivos profesionales;28006
1/05/2024;Francia;Negocio motivos profesionales;72025
1/05/2024;Irlanda;Negocio motivos profesionales;16280
1/05/2024;Italia;Negocio motivos profesionales;26410
1/05/2024;Paises Bajos;Negocio motivos profesionales;28316
1/05/2024;Paises Nordicos;Negocio motivos profesionales;21707
1/05/2024;Portugal;Negocio motivos profesionales;10858
1/05/2024;Reino Unido;Negocio motivos profesionales;107304
1/05/2024;Resto America;Negocio motivos profesionales;30046
1/05/2024;Resto de Europa;Negocio motivos profesionales;48128
1/05/2024;Resto del Mundo;Negocio motivos profesionales;34659
1/05/2024;Rusia;Negocio motivos profesionales;0
1/05/2024;Suiza;Negocio motivos profesionales;11819
1/05/2024;Alemania;Ocio recreo y vacaciones;1071688
1/05/2024;Belgica;Ocio recreo y vacaciones;225238
1/05/2024;Estados Unidos de America;Ocio recreo y vacaciones;435423
1/05/2024;Francia;Ocio recreo y vacaciones;1119801
1/05/2024;Irlanda;Ocio recreo y vacaciones;253120
1/05/2024;Italia;Ocio recreo y vacaciones;410612
1/05/2024;Paises Bajos;Ocio recreo y vacaciones;440235
1/05/2024;Paises Nordicos;Ocio recreo y vacaciones;337488
1/05/2024;Portugal;Ocio recreo y vacaciones;168811
1/05/2024;Reino Unido;Ocio recreo y vacaciones;1668303
1/05/2024;Resto America;Ocio recreo y vacaciones;467136
1/05/2024;Resto de Europa;Ocio recreo y vacaciones;748272
1/05/2024;Resto del Mundo;Ocio recreo y vacaciones;538866
1/05/2024;Rusia;Ocio recreo y vacaciones;0
1/05/2024;Suiza;Ocio recreo y vacaciones;183755
1/05/2024;Alemania;Otros motivos;88819
1/05/2024;Belgica;Otros motivos;18667
1/05/2024;Estados Unidos de America;Otros motivos;36087
1/05/2024;Francia;Otros motivos;92807
1/05/2024;Irlanda;Otros motivos;20978
1/05/2024;Italia;Otros motivos;34031
1/05/2024;Paises Bajos;Otros motivos;36486
1/05/2024;Paises Nordicos;Otros motivos;27970
1/05/2024;Portugal;Otros motivos;13991
1/05/2024;Reino Unido;Otros motivos;138265
1/05/2024;Resto America;Otros motivos;38715
1/05/2024;Resto de Europa;Otros motivos;62015
1/05/2024;Resto del Mundo;Otros motivos;44660
1/05/2024;Rusia;Otros motivos;0
1/05/2024;Suiza;Otros motivos;15229
1/06/2024;Alemania;Negocio motivos profesionales;70198
1/06/2024;Belgica;Negocio motivos profesionales;16553
1/06/2024;Estados Unidos de America;Negocio motivos profesionales;35304
1/06/2024;Francia;Negocio motivos profesionales;62788
1/06/2024;Irlanda;Negocio motivos profesionales;20377
1/06/2024;Italia;Negocio motivos profesionales;31743
1/06/2024;Paises Bajos;Negocio motivos profesionales;29453
1/06/2024;Paises Nordicos;Negocio motivos profesionales;27144
1/06/2024;Portugal;Negocio motivos profesionales;18091
1/06/2024;Reino Unido;Negocio motivos profesionales;132327
1/06/2024;Resto America;Negocio motivos profesionales;30721
1/06/2024;Resto de Europa;Negocio motivos profesionales;52691
1/06/2024;Resto del Mundo;Negocio motivos profesionales;35271
1/06/2024;Rusia;Negocio motivos profesionales;0
1/06/2024;Suiza;Negocio motivos profesionales;13091
1/06/2024;Alemania;Ocio recreo y vacaciones;986768
1/06/2024;Belgica;Ocio recreo y vacaciones;232686
1/06/2024;Estados Unidos de America;Ocio recreo y vacaciones;496272
1/06/2024;Francia;Ocio recreo y vacaciones;882606
1/06/2024;Irlanda;Ocio recreo y vacaciones;286436
1/06/2024;Italia;Ocio recreo y vacaciones;446213
1/06/2024;Paises Bajos;Ocio recreo y vacaciones;414016
1/06/2024;Paises Nordicos;Ocio recreo y vacaciones;381560
1/06/2024;Portugal;Ocio recreo y vacaciones;254303
1/06/2024;Reino Unido;Ocio recreo y vacaciones;1860108
1/06/2024;Resto America;Ocio recreo y vacaciones;431841
1/06/2024;Resto de Europa;Ocio recreo y vacaciones;740679
1/06/2024;Resto del Mundo;Ocio recreo y vacaciones;495799
1/06/2024;Rusia;Ocio recreo y vacaciones;0
1/06/2024;Suiza;Ocio recreo y vacaciones;184025
1/06/2024;Alemania;Otros motivos;78566
1/06/2024;Belgica;Otros motivos;18526
1/06/2024;Estados Unidos de America;Otros motivos;39513
1/06/2024;Francia;Otros motivos;70273
1/06/2024;Irlanda;Otros motivos;22806
1/06/2024;Italia;Otros motivos;35527
1/06/2024;Paises Bajos;Otros motivos;32964
1/06/2024;Paises Nordicos;Otros motivos;30380
1/06/2024;Portugal;Otros motivos;20247
1/06/2024;Reino Unido;Otros motivos;148101
1/06/2024;Resto America;Otros motivos;34383
1/06/2024;Resto de Europa;Otros motivos;58973
1/06/2024;Resto del Mundo;Otros motivos;39475
1/06/2024;Rusia;Otros motivos;0
1/06/2024;Suiza;Otros motivos;14652
1/07/2024;Alemania;Negocio motivos profesionales;36910
1/07/2024;Belgica;Negocio motivos profesionales;14852
1/07/2024;Estados Unidos de America;Negocio motivos profesionales;14452
1/07/2024;Francia;Negocio motivos profesionales;47690
1/07/2024;Irlanda;Negocio motivos profesionales;9282
1/07/2024;Italia;Negocio motivos profesionales;16610
1/07/2024;Paises Bajos;Negocio motivos profesionales;20617
1/07/2024;Paises Nordicos;Negocio motivos profesionales;18613
1/07/2024;Portugal;Negocio motivos profesionales;10931
1/07/2024;Reino Unido;Negocio motivos profesionales;60505
1/07/2024;Resto America;Negocio motivos profesionales;15430
1/07/2024;Resto de Europa;Negocio motivos profesionales;27355
1/07/2024;Resto del Mundo;Negocio motivos profesionales;18061
1/07/2024;Rusia;Negocio motivos profesionales;0
1/07/2024;Suiza;Negocio motivos profesionales;9012
1/07/2024;Alemania;Ocio recreo y vacaciones;1141163
1/07/2024;Belgica;Ocio recreo y vacaciones;459198
1/07/2024;Estados Unidos de America;Ocio recreo y vacaciones;446820
1/07/2024;Francia;Ocio recreo y vacaciones;1474447
1/07/2024;Irlanda;Ocio recreo y vacaciones;286960
1/07/2024;Italia;Ocio recreo y vacaciones;513552
1/07/2024;Paises Bajos;Ocio recreo y vacaciones;637416
1/07/2024;Paises Nordicos;Ocio recreo y vacaciones;575450
1/07/2024;Portugal;Ocio recreo y vacaciones;337950
1/07/2024;Reino Unido;Ocio recreo y vacaciones;1870663
1/07/2024;Resto America;Ocio recreo y vacaciones;477069
1/07/2024;Resto de Europa;Ocio recreo y vacaciones;845753
1/07/2024;Resto del Mundo;Ocio recreo y vacaciones;558403
1/07/2024;Rusia;Ocio recreo y vacaciones;0
1/07/2024;Suiza;Ocio recreo y vacaciones;278640
1/07/2024;Alemania;Otros motivos;72290
1/07/2024;Belgica;Otros motivos;29089
1/07/2024;Estados Unidos de America;Otros motivos;28305
1/07/2024;Francia;Otros motivos;93403
1/07/2024;Irlanda;Otros motivos;18178
1/07/2024;Italia;Otros motivos;32532
1/07/2024;Paises Bajos;Otros motivos;40379
1/07/2024;Paises Nordicos;Otros motivos;36454
1/07/2024;Portugal;Otros motivos;21408
1/07/2024;Reino Unido;Otros motivos;118503
1/07/2024;Resto America;Otros motivos;30221
1/07/2024;Resto de Europa;Otros motivos;53577
1/07/2024;Resto del Mundo;Otros motivos;35374
1/07/2024;Rusia;Otros motivos;0
1/07/2024;Suiza;Otros motivos;17651
1/08/2024;Alemania;Negocio motivos profesionales;17262
1/08/2024;Belgica;Negocio motivos profesionales;4654
1/08/2024;Estados Unidos de America;Negocio motivos profesionales;5133
1/08/2024;Francia;Negocio motivos profesionales;29737
1/08/2024;Irlanda;Negocio motivos profesionales;4017
1/08/2024;Italia;Negocio motivos profesionales;10957
1/08/2024;Paises Bajos;Negocio motivos profesionales;8092
1/08/2024;Paises Nordicos;Negocio motivos profesionales;4547
1/08/2024;Portugal;Negocio motivos profesionales;7353
1/08/2024;Reino Unido;Negocio motivos profesionales;29466
1/08/2024;Resto America;Negocio motivos profesionales;6468
1/08/2024;Resto de Europa;Negocio motivos profesionales;13052
1/08/2024;Resto del Mundo;Negocio motivos profesionales;8466
1/08/2024;Rusia;Negocio motivos profesionales;0
1/08/2024;Suiza;Negocio motivos profesionales;2758
1/08/2024;Alemania;Ocio recreo y vacaciones;1153234
1/08/2024;Belgica;Ocio recreo y vacaciones;310909
1/08/2024;Estados Unidos de America;Ocio recreo y vacaciones;342938
1/08/2024;Francia;Ocio recreo y vacaciones;1986711
1/08/2024;Irlanda;Ocio recreo y vacaciones;268341
1/08/2024;Italia;Ocio recreo y vacaciones;732059
1/08/2024;Paises Bajos;Ocio recreo y vacaciones;540644
1/08/2024;Paises Nordicos;Ocio recreo y vacaciones;303781
1/08/2024;Portugal;Ocio recreo y vacaciones;491234
1/08/2024;Reino Unido;Ocio recreo y vacaciones;1968625
1/08/2024;Resto America;Ocio recreo y vacaciones;432112
1/08/2024;Resto de Europa;Ocio recreo y vacaciones;871965
1/08/2024;Resto del Mundo;Ocio recreo y vacaciones;565615
1/08/2024;Rusia;Ocio recreo y vacaciones;0
1/08/2024;Suiza;Ocio recreo y vacaciones;184248
1/08/2024;Alemania;Otros motivos;71151
1/08/2024;Belgica;Otros motivos;19182
1/08/2024;Estados Unidos de America;Otros motivos;21158
1/08/2024;Francia;Otros motivos;122574
1/08/2024;Irlanda;Otros motivos;16556
1/08/2024;Italia;Otros motivos;45166
1/08/2024;Paises Bajos;Otros motivos;33356
1/08/2024;Paises Nordicos;Otros motivos;18742
1/08/2024;Portugal;Otros motivos;30308
1/08/2024;Reino Unido;Otros motivos;121458
1/08/2024;Resto America;Otros motivos;26660
1/08/2024;Resto de Europa;Otros motivos;53798
1/08/2024;Resto del Mundo;Otros motivos;34897
1/08/2024;Rusia;Otros motivos;0
1/08/2024;Suiza;Otros motivos;11368
1/09/2024;Alemania;Negocio motivos profesionales;77416
1/09/2024;Belgica;Negocio motivos profesionales;18660
1/09/2024;Estados Unidos de America;Negocio motivos profesionales;26149
1/09/2024;Francia;Negocio motivos profesionales;64785
1/09/2024;Irlanda;Negocio motivos profesionales;17512
1/09/2024;Italia;Negocio motivos profesionales;29881
1/09/2024;Paises Bajos;Negocio motivos profesionales;29379
1/09/2024;Paises Nordicos;Negocio motivos profesionales;25946
1/09/2024;Portugal;Negocio motivos profesionales;17923
1/09/2024;Reino Unido;Negocio motivos profesionales;120991
1/09/2024;Resto America;Negocio motivos profesionales;33010
1/09/2024;Resto de Europa;Negocio motivos profesionales;56570
1/09/2024;Resto del Mundo;Negocio motivos profesionales;36606
1/09/2024;Rusia;Negocio motivos profesionales;0
1/09/2024;Suiza;Negocio motivos profesionales;12460
1/09/2024;Alemania;Ocio recreo y vacaciones;1155486
1/09/2024;Belgica;Ocio recreo y vacaciones;278518
1/09/2024;Estados Unidos de America;Ocio recreo y vacaciones;390284
1/09/2024;Francia;Ocio recreo y vacaciones;966955
1/09/2024;Irlanda;Ocio recreo y vacaciones;261374
1/09/2024;Italia;Ocio recreo y vacaciones;445989
1/09/2024;Paises Bajos;Ocio recreo y vacaciones;438498
1/09/2024;Paises Nordicos;Ocio recreo y vacaciones;387259
1/09/2024;Portugal;Ocio recreo y vacaciones;267513
1/09/2024;Reino Unido;Ocio recreo y vacaciones;1805859
1/09/2024;Resto America;Ocio recreo y vacaciones;492694
1/09/2024;Resto de Europa;Ocio recreo y vacaciones;844345
1/09/2024;Resto del Mundo;Ocio recreo y vacaciones;546362
1/09/2024;Rusia;Ocio recreo y vacaciones;0
1/09/2024;Suiza;Ocio recreo y vacaciones;185971
1/09/2024;Alemania;Otros motivos;76523
1/09/2024;Belgica;Otros motivos;18445
1/09/2024;Estados Unidos de America;Otros motivos;25847
1/09/2024;Francia;Otros motivos;64037
1/09/2024;Irlanda;Otros motivos;17310
1/09/2024;Italia;Otros motivos;29536
1/09/2024;Paises Bajos;Otros motivos;29040
1/09/2024;Paises Nordicos;Otros motivos;25647
1/09/2024;Portugal;Otros motivos;17716
1/09/2024;Reino Unido;Otros motivos;119594
1/09/2024;Resto America;Otros motivos;32629
1/09/2024;Resto de Europa;Otros motivos;55917
1/09/2024;Resto del Mundo;Otros motivos;36183
1/09/2024;Rusia;Otros motivos;0
1/09/2024;Suiza;Otros motivos;12316
1/10/2024;Alemania;Negocio motivos profesionales;76129
1/10/2024;Belgica;Negocio motivos profesionales;14252
1/10/2024;Estados Unidos de America;Negocio motivos profesionales;24950
1/10/2024;Francia;Negocio motivos profesionales;67706
1/10/2024;Irlanda;Negocio motivos profesionales;15871
1/10/2024;Italia;Negocio motivos profesionales;25051
1/10/2024;Paises Bajos;Negocio motivos profesionales;24926
1/10/2024;Paises Nordicos;Negocio motivos profesionales;32386
1/10/2024;Portugal;Negocio motivos profesionales;11203
1/10/2024;Reino Unido;Negocio motivos profesionales;104443
1/10/2024;Resto America;Negocio motivos profesionales;32610
1/10/2024;Resto de Europa;Negocio motivos profesionales;47627
1/10/2024;Resto del Mundo;Negocio motivos profesionales;31497
1/10/2024;Rusia;Negocio motivos profesionales;0
1/10/2024;Suiza;Negocio motivos profesionales;13800
1/10/2024;Alemania;Ocio recreo y vacaciones;1140041
1/10/2024;Belgica;Ocio recreo y vacaciones;213432
1/10/2024;Estados Unidos de America;Ocio recreo y vacaciones;373628
1/10/2024;Francia;Ocio recreo y vacaciones;1013912
1/10/2024;Irlanda;Ocio recreo y vacaciones;237672
1/10/2024;Italia;Ocio recreo y vacaciones;375137
1/10/2024;Paises Bajos;Ocio recreo y vacaciones;373275
1/10/2024;Paises Nordicos;Ocio recreo y vacaciones;484982
1/10/2024;Portugal;Ocio recreo y vacaciones;167771
1/10/2024;Reino Unido;Ocio recreo y vacaciones;1564044
1/10/2024;Resto America;Ocio recreo y vacaciones;488339
1/10/2024;Resto de Europa;Ocio recreo y vacaciones;713219
1/10/2024;Resto del Mundo;Ocio recreo y vacaciones;471674
1/10/2024;Rusia;Ocio recreo y vacaciones;0
1/10/2024;Suiza;Ocio recreo y vacaciones;206657
1/10/2024;Alemania;Otros motivos;90209
1/10/2024;Belgica;Otros motivos;16888
1/10/2024;Estados Unidos de America;Otros motivos;29564
1/10/2024;Francia;Otros motivos;80228
1/10/2024;Irlanda;Otros motivos;18806
1/10/2024;Italia;Otros motivos;29684
1/10/2024;Paises Bajos;Otros motivos;29536
1/10/2024;Paises Nordicos;Otros motivos;38375
1/10/2024;Portugal;Otros motivos;13275
1/10/2024;Reino Unido;Otros motivos;123759
1/10/2024;Resto America;Otros motivos;38641
1/10/2024;Resto de Europa;Otros motivos;56435
1/10/2024;Resto del Mundo;Otros motivos;37322
1/10/2024;Rusia;Otros motivos;0
1/10/2024;Suiza;Otros motivos;16352
1/11/2024;Alemania;Negocio motivos profesionales;53173
1/11/2024;Belgica;Negocio motivos profesionales;12081
1/11/2024;Estados Unidos de America;Negocio motivos profesionales;22128
1/11/2024;Francia;Negocio motivos profesionales;61380
1/11/2024;Irlanda;Negocio motivos profesionales;12157
1/11/2024;Italia;Negocio motivos profesionales;30160
1/11/2024;Paises Bajos;Negocio motivos profesionales;19978
1/11/2024;Paises Nordicos;Negocio motivos profesionales;32878
1/11/2024;Portugal;Negocio motivos profesionales;14388
1/11/2024;Reino Unido;Negocio motivos profesionales;81820
1/11/2024;Resto America;Negocio motivos profesionales;32555
1/11/2024;Resto de Europa;Negocio motivos profesionales;52614
1/11/2024;Resto del Mundo;Negocio motivos profesionales;29484
1/11/2024;Rusia;Negocio motivos profesionales;0
1/11/2024;Suiza;Negocio motivos profesionales;8119
1/11/2024;Alemania;Ocio recreo y vacaciones;530336
1/11/2024;Belgica;Ocio recreo y vacaciones;120492
1/11/2024;Estados Unidos de America;Ocio recreo y vacaciones;220705
1/11/2024;Francia;Ocio recreo y vacaciones;612201
1/11/2024;Irlanda;Ocio recreo y vacaciones;121252
